
Изменение параметров за 169 витков:
+----------------------+----------------------+------------------+------------------------+-----------------------+
|         ДВУ          | Аргумент перицентра  | Большая полуось  |     Эксцентриситет     |       Наклонение      |
+----------------------+----------------------+------------------+------------------------+-----------------------+
| -0.40856538589935654 | -0.19332404003824832 | 2498.83718419075 | 0.00022744596283452712 | 4.668148398456751e-05 |
+----------------------+----------------------+------------------+------------------------+-----------------------+
Изменение параметров за 169 витков теоретически:
+---------------------+----------------------+
|         ДВУ         | Аргумент перицентра  |
+---------------------+----------------------+
| -0.4096536463953996 | -0.19415838307562241 |
+---------------------+----------------------+



Параметры орбиты в начале каждого витка:
+-------------+---------------------+---------------------+--------------------+---------------------+--------------------+------------------------+
| Номер витка |         ДВУ         | Аргумент перицентра |  Большая полуось   |    Эксцентриситет   |     Наклонение     |   Истинная аномалия    |
+-------------+---------------------+---------------------+--------------------+---------------------+--------------------+------------------------+
|      1      |  0.6999997964985152 |  1.3699967050294024 | 8058997.836084181  |  0.1499997718123308 | 1.1999999614180397 | 0.0002422035394495925  |
|      2      |  0.6975824616640619 |  1.3688561036893911 | 8059010.009277634  | 0.15000090560564408 | 1.2000001874039632 | 4.313263511623866e-05  |
|      3      |  0.6951649229380816 |  1.3677122023642003 | 8059020.070290056  | 0.15000181586331307 | 1.2000003757775188 |  8.62702537729465e-05  |
|      4      |  0.6927473838200782 |  1.366568296000008  | 8059030.1829885235 |  0.1500027307686438 | 1.2000005651197494 | 0.00012941288001400153 |
|      5      |  0.6903298443080352 |  1.3654243845722038 | 8059040.347324553  | 0.15000365031719864 | 1.2000007554297238 | 0.00017256053837422236 |
|      6      |  0.6879123043999589 |  1.3642804680562368 | 8059050.563248834  |  0.1500045745046103 | 1.2000009467065165 | 0.00021571325303959554 |
|      7      |  0.6854949670177598 |  1.3631398256389902 | 8059063.064228012  | 0.15000573884553992 | 1.2000011787714562 | 1.6683267087147513e-05 |
|      8      |  0.6830774262170207 |  1.3619958963519774 | 8059073.394287332  |  0.150006673452133  | 1.2000013721778706 | 5.984869201669518e-05  |
|      9      |  0.6806598850138059 |  1.3608519618912345 | 8059083.775775624  | 0.15000761268305285 | 1.200001566548099  | 0.00010301925859135252 |
|      10     |  0.6782423434061171 |  1.359708022232525  | 8059094.208643204  |  0.1500085565338185 | 1.2000017618811811 | 0.00014619499047485718 |
|      11     |  0.6758248013919715 |  1.3585640773514396 | 8059104.692839515  | 0.15000950499990162 | 1.2000019581761585 | 0.00018937591195622439 |
|      12     |  0.6734072589693778 |  1.357420127223512  | 8059115.228313995  |   0.15001045807674  | 1.2000021554320752 | 0.0002325620473095924  |
|      13     |  0.6709899184644795 |  1.3562794347813576 | 8059128.117716177  | 0.15001165856618953 | 1.2000023947030205 | 3.358189250191046e-05  |
|      14     |  0.6685723751215178 |   1.35513547148808  |  8059138.76663268  | 0.15001262199846424 | 1.2000025940754857 | 7.678113034792489e-05  |
|      15     |  0.6661548313637076 |  1.3539915028630003 | 8059149.466663503  | 0.15001359002654355 | 1.2000027944057783 | 0.00011998566650750497 |
|      16     |  0.6637372871890671 |  1.3528475288818056 | 8059160.217756277  |  0.1500145626457915 | 1.200002995692925  | 0.00016319552543131444 |
|      17     |  0.6613197425956208 |  1.3517035495205678 | 8059171.019859838  | 0.15001553985153504 | 1.2000031979359367 | 0.00020641073065630344 |
|      18     |  0.6589023993955815 |  1.350562813629191  | 8059184.233398718  | 0.15001677054572318 | 1.2000034432174538 | 7.473856246109634e-06  |
|      19     |  0.6564848538586489 |  1.349418820771223  | 8059195.148346414  | 0.15001775805185055 | 1.2000036475657474 | 5.070249337579824e-05  |
|      20     |  0.6540673078965256 |  1.3482748224484367 | 8059206.114136294  | 0.15001875012914256 | 1.2000038528667227 | 9.393656169365272e-05  |
|      21     |  0.651649761507264  |  1.3471308186368929 | 8059217.130715719  |  0.1500197467728324 | 1.2000040591193737 | 0.00013717608470642517 |
|      22     |  0.6492322146888879 |  1.3459868093124587 |  8059228.19803119  | 0.15002074797815002 | 1.2000042663226926 | 0.00018042108632077003 |
|      23     |  0.6468146674394327 |  1.3448427944510841 | 8059239.316029434  |  0.1500217537402773 | 1.2000044744756582 | 0.00022367159055103336 |
|      24     |  0.6443973209421506 |  1.3437020057446531 | 8059252.913520711  |  0.1500230201634481 | 1.2000047268793261 | 2.4787327950637206e-05 |
|      25     |  0.6419797727218193 |  1.342557976997002  | 8059264.143632031  | 0.15002403615866924 | 1.2000049371237782 | 6.805165185563844e-05  |
|      26     |  0.6395622240640986 |   1.34141394262855  | 8059275.424253181  | 0.15002505669493027 | 1.2000051483146073 | 0.00011132156136350879 |
|      27     |  0.6371446749670094 |  1.340269902615112  | 8059286.755329288  | 0.15002608176733284 | 1.2000053604507837 | 0.00015459708056186905 |
|      28     |  0.6347271254286134 |  1.3391258569330913 | 8059298.136805921  | 0.15002711137096084 | 1.2000055735312654 | 0.00019787823285843942 |
|      29     |  0.6323095754469624 |  1.3379818055585146 | 8059309.568628033  |  0.1500281455008631 | 1.2000057875550043 | 0.00024116504214344303 |
|      30     |  0.6298922255584345 |  1.3368409625393012 | 8059323.547539211  |  0.1500294474155862 |  1.2000060470333   |  4.23348816784852e-05  |
|      31     |  0.6274746745787129 |  1.335696896891613  | 8059335.090721703  | 0.15003049170938207 | 1.2000062631343258 | 8.563589589516418e-05  |
|      32     |  0.6250571231494265 |  1.3345528254681034 | 8059346.684071994  |  0.1500315405132523 | 1.2000064801752517 | 0.00012894264987117765 |
|      33     |  0.6226395712686631 |  1.3334087482450605 | 8059358.327533814  | 0.15003259382215256 | 1.2000066981550046 | 0.00017225516692387366 |
|      34     |  0.6202220189344687 |  1.3322646651985994 | 8059370.021051057  | 0.15003365163103757 | 1.2000069170725274 | 0.00021557347090417345 |
|      35     |  0.617804666126701  |  1.331123775130202  | 8059384.318064784  | 0.15003498318380853 | 1.200007182448236  | 1.679017700451091e-05  |
|      36     |  0.6153871127717462 |  1.3299796774859176 | 8059396.1222952325 | 0.15003605109697465 | 1.2000074034308348 | 6.0123008498891295e-05 |
|      37     |  0.612969558957116  |  1.3288355739353743 |  8059407.97639861  | 0.15003712349352585 | 1.2000076253477523 | 0.00010346170934605325 |
|      38     |  0.6105520046808739 |  1.3276914644551294 | 8059419.880317841  | 0.15003820036832255 | 1.2000078481978986 | 0.00014680630305163866 |
